state_id,persona,n_masked,n_disclosed,disclosure_rate,n_clarify_turns,n_answered_clarifies,pass1,pass5
BigCodeBench/849,Novice-Learner,2,2,1.0,6,5,0,0
BigCodeBench/849,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/849,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/251,Novice-Learner,3,3,1.0,6,3,0,0
BigCodeBench/251,Busy-Developer,3,0,0.0,0,0,0,1
BigCodeBench/251,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/160,Novice-Learner,7,4,0.5714285714285714,6,4,0,0
BigCodeBench/160,Busy-Developer,7,0,0.0,0,0,0,0
BigCodeBench/160,Experienced-Engineer,7,5,0.7142857142857143,2,1,0,0
BigCodeBench/364,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/364,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/364,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/318,Novice-Learner,3,2,0.6666666666666666,6,2,1,1
BigCodeBench/318,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/318,Experienced-Engineer,3,2,0.6666666666666666,2,1,0,1
BigCodeBench/315,Novice-Learner,5,3,0.6,6,3,0,0
BigCodeBench/315,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/315,Experienced-Engineer,5,4,0.8,1,1,0,0
BigCodeBench/270,Novice-Learner,2,2,1.0,6,2,1,1
BigCodeBench/270,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/270,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/202,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/202,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/202,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/701,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/701,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/701,Experienced-Engineer,2,2,1.0,2,1,0,0
BigCodeBench/197,Novice-Learner,2,2,1.0,6,4,0,1
BigCodeBench/197,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/197,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/805,Novice-Learner,4,4,1.0,6,5,0,0
BigCodeBench/805,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/805,Experienced-Engineer,4,0,0.0,0,0,0,0
BigCodeBench/566,Novice-Learner,2,1,0.5,6,1,0,0
BigCodeBench/566,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/566,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/163,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/163,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/163,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/1028,Novice-Learner,5,3,0.6,6,3,0,0
BigCodeBench/1028,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/1028,Experienced-Engineer,5,3,0.6,1,1,0,0
BigCodeBench/1049,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/1049,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/1049,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/307,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/307,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/307,Experienced-Engineer,2,2,1.0,2,1,0,0
BigCodeBench/968,Novice-Learner,4,3,0.75,6,3,0,0
BigCodeBench/968,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/968,Experienced-Engineer,4,0,0.0,6,0,0,0
BigCodeBench/672,Novice-Learner,2,2,1.0,6,2,1,1
BigCodeBench/672,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/672,Experienced-Engineer,2,2,1.0,2,1,1,1
BigCodeBench/798,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/798,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/798,Experienced-Engineer,3,0,0.0,0,0,0,0
BigCodeBench/974,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/974,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/974,Experienced-Engineer,3,3,1.0,1,1,0,0
BigCodeBench/884,Novice-Learner,3,3,1.0,6,3,0,0
BigCodeBench/884,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/884,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/502,Novice-Learner,1,1,1.0,6,3,0,0
BigCodeBench/502,Busy-Developer,1,0,0.0,0,0,0,0
BigCodeBench/502,Experienced-Engineer,1,1,1.0,2,1,0,0
BigCodeBench/435,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/435,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/435,Experienced-Engineer,2,0,0.0,6,0,0,0
BigCodeBench/575,Novice-Learner,2,2,1.0,6,4,0,0
BigCodeBench/575,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/575,Experienced-Engineer,2,0,0.0,2,0,0,0
BigCodeBench/610,Novice-Learner,4,2,0.5,6,2,0,0
BigCodeBench/610,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/610,Experienced-Engineer,4,4,1.0,1,1,0,0
BigCodeBench/856,Novice-Learner,4,4,1.0,6,5,0,0
BigCodeBench/856,Busy-Developer,4,0,0.0,0,0,1,1
BigCodeBench/856,Experienced-Engineer,4,0,0.0,2,0,0,1
BigCodeBench/1037,Novice-Learner,6,4,0.6666666666666666,6,4,0,0
BigCodeBench/1037,Busy-Developer,6,0,0.0,0,0,0,0
BigCodeBench/1037,Experienced-Engineer,6,4,0.6666666666666666,2,1,0,0
BigCodeBench/678,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/678,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/678,Experienced-Engineer,2,2,1.0,3,1,0,0
BigCodeBench/394,Novice-Learner,2,2,1.0,6,6,0,0
BigCodeBench/394,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/394,Experienced-Engineer,2,2,1.0,2,1,0,0
BigCodeBench/887,Novice-Learner,2,2,1.0,6,5,1,1
BigCodeBench/887,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/887,Experienced-Engineer,2,2,1.0,2,1,1,1
BigCodeBench/122,Novice-Learner,3,3,1.0,6,5,1,1
BigCodeBench/122,Busy-Developer,3,0,0.0,0,0,1,1
BigCodeBench/122,Experienced-Engineer,3,3,1.0,4,1,1,1
BigCodeBench/709,Novice-Learner,2,1,0.5,6,1,0,0
BigCodeBench/709,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/709,Experienced-Engineer,2,2,1.0,1,1,0,0
BigCodeBench/549,Novice-Learner,2,2,1.0,6,3,0,0
BigCodeBench/549,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/549,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/287,Novice-Learner,2,1,0.5,6,1,1,1
BigCodeBench/287,Busy-Developer,2,0,0.0,0,0,1,1
BigCodeBench/287,Experienced-Engineer,2,2,1.0,1,1,1,1
BigCodeBench/813,Novice-Learner,2,2,1.0,6,5,0,0
BigCodeBench/813,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/813,Experienced-Engineer,2,0,0.0,0,0,0,0
BigCodeBench/844,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/844,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/844,Experienced-Engineer,3,0,0.0,0,0,0,0
BigCodeBench/170,Novice-Learner,3,3,1.0,6,3,0,0
BigCodeBench/170,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/170,Experienced-Engineer,3,3,1.0,2,1,0,0
BigCodeBench/300,Novice-Learner,5,3,0.6,6,3,0,0
BigCodeBench/300,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/300,Experienced-Engineer,5,4,0.8,1,1,0,0
BigCodeBench/442,Novice-Learner,4,3,0.75,6,3,0,0
BigCodeBench/442,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/442,Experienced-Engineer,4,3,0.75,1,1,0,0
BigCodeBench/650,Novice-Learner,2,1,0.5,6,1,0,1
BigCodeBench/650,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/650,Experienced-Engineer,2,2,1.0,1,1,0,1
BigCodeBench/337,Novice-Learner,4,4,1.0,6,4,1,1
BigCodeBench/337,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/337,Experienced-Engineer,4,3,0.75,1,1,1,1
BigCodeBench/585,Novice-Learner,4,2,0.5,6,2,0,0
BigCodeBench/585,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/585,Experienced-Engineer,4,3,0.75,1,1,0,0
BigCodeBench/272,Novice-Learner,3,1,0.3333333333333333,6,1,0,0
BigCodeBench/272,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/272,Experienced-Engineer,3,2,0.6666666666666666,1,1,0,0
BigCodeBench/560,Novice-Learner,2,2,1.0,6,2,0,0
BigCodeBench/560,Busy-Developer,2,0,0.0,0,0,0,0
BigCodeBench/560,Experienced-Engineer,2,2,1.0,2,2,0,0
BigCodeBench/973,Novice-Learner,4,4,1.0,6,4,0,0
BigCodeBench/973,Busy-Developer,4,0,0.0,0,0,0,0
BigCodeBench/973,Experienced-Engineer,4,0,0.0,2,0,0,0
BigCodeBench/174,Novice-Learner,3,3,1.0,6,4,0,0
BigCodeBench/174,Busy-Developer,3,0,0.0,0,0,0,0
BigCodeBench/174,Experienced-Engineer,3,2,0.6666666666666666,2,1,0,0
BigCodeBench/298,Novice-Learner,5,3,0.6,6,3,0,0
BigCodeBench/298,Busy-Developer,5,0,0.0,0,0,0,0
BigCodeBench/298,Experienced-Engineer,5,4,0.8,2,1,0,0
BigCodeBench/427,Novice-Learner,4,4,1.0,6,4,0,0
